,country,count,rank,year
8,Australia,436469,1,2011
47,Democratic Republic of the Congo,433882,2,2011
4,Angola,353322,3,2011
148,Russia,285340,4,2011
23,Brazil,271330,5,2011
166,Sudan,220250,6,2011
199,Zambia,216522,7,2011
34,Central African Republic,183006,8,2011
119,Mozambique,142706,9,2011
189,United States,123766,10,2011
114,Mexico,108944,11,2011
37,China,103141,12,2011
188,United Republic of Tanzania,83145,13,2011
75,Guinea,77975,14,2011
6,Argentina,76422,15,2011
82,India,72274,16,2011
128,Nigeria,68402,17,2011
69,Ghana,66146,18,2011
106,Madagascar,66001,19,2011
20,Bolivia,63306,20,2011
83,Indonesia,62577,21,2011
35,Chad,56008,22,2011
57,Ethiopia,52138,23,2011
27,Burma,50896,24,2011
163,South Africa,50633,25,2011
30,Cameroon,48655,26,2011
42,Cote d'Ivoire,48136,27,2011
22,Botswana,45820,28,2011
138,Paraguay,43362,29,2011
31,Canada,39031,30,2011
200,Zimbabwe,36355,31,2011
110,Mali,35495,32,2011
29,Cambodia,34693,33,2011
85,Iraq,32771,34,2011
120,Namibia,32088,35,2011
195,Venezuela,29400,36,2011
92,Kazakhstan,27849,37,2011
185,Ukraine,27212,38,2011
130,None,26873,39,2011
98,Lao People's Democratic Republic,25965,40,2011
40,Congo,23827,41,2011
155,Senegal,23125,42,2011
157,Sierra Leone,22002,43,2011
26,Burkina Faso,20092,44,2011
18,Benin,19437,45,2011
84,Iran (Islamic Republic of),19321,46,2011
174,Thailand,19265,47,2011
38,Colombia,18732,48,2011
181,Turkey,18416,49,2011
184,Uganda,17598,50,2011
196,Viet Nam,16149,51,2011
177,Togo,14939,52,2011
79,Honduras,11810,53,2011
74,Guatemala,11620,54,2011
139,Peru,11155,55,2011
107,Malawi,11095,56,2011
44,Cuba,9715,57,2011
147,Romania,9628,58,2011
2,Algeria,8696,59,2011
134,Pakistan,8483,60,2011
36,Chile,7579,61,2011
102,Liberia,6745,62,2011
88,Italy,6678,63,2011
76,Guinea-Bissau,5981,64,2011
164,Spain,5454,65,2011
137,Papua New Guinea,5098,66,2011
156,Serbia,4807,67,2011
126,Nicaragua,4492,68,2011
51,Ecuador,4110,69,2011
108,Malaysia,3793,70,2011
25,Bulgaria,3705,71,2011
94,"Korea, Democratic People's Republic of",3651,72,2011
140,Philippines,3208,73,2011
115,Mongolia,3066,74,2011
142,Portugal,3037,75,2011
65,Gabon,2956,76,2011
13,Bangladesh,2791,77,2011
93,Kenya,2747,78,2011
17,Belize,2731,79,2011
70,Greece,2659,80,2011
103,Libyan Arab Jamahiriya,2553,81,2011
68,Germany,2421,82,2011
182,Turkmenistan,2200,83,2011
193,Uzbekistan,2170,84,2011
50,Dominican Republic,2132,85,2011
61,France,2091,86,2011
154,Saudi Arabia,2021,87,2011
55,Eritrea,1958,88,2011
121,Nepal,1882,89,2011
168,Swaziland,1836,90,2011
90,Japan,1748,91,2011
1,Albania,1491,92,2011
43,Croatia,1476,93,2011
145,Republic of Moldova,1424,94,2011
192,Uruguay,1375,95,2011
165,Sri Lanka,1364,96,2011
66,Gambia,1360,97,2011
10,Azerbaijan,1349,98,2011
175,The former Yugoslav Republic of Macedonia,1306,99,2011
77,Guyana,1304,100,2011
81,Hungary,1299,101,2011
21,Bosnia and Herzegovina,1273,102,2011
52,Egypt,1256,103,2011
187,United Kingdom,1245,104,2011
136,Panama,1118,105,2011
144,Qatar,1078,106,2011
