month,count,year
1,372875,2010
2,237316,2010
3,341799,2010
4,289781,2010
5,239790,2010
6,340902,2010
7,496878,2010
8,784405,2010
9,658230,2010
10,355658,2010
11,264113,2010
12,360360,2010
1,368772,2011
2,246407,2011
3,256411,2011
4,314774,2011
5,289996,2011
6,364746,2011
7,516284,2011
8,591202,2011
9,661391,2011
10,394799,2011
11,291709,2011
12,426614,2011
1,389615,2012
2,263777,2012
3,366459,2012
4,318020,2012
5,297906,2012
6,465604,2012
7,623768,2012
8,634567,2012
9,569058,2012
10,387237,2012
11,288772,2012
12,378326,2012
1,367209,2013
2,265126,2013
3,288179,2013
4,287316,2013
5,259601,2013
6,397273,2013
7,470478,2013
8,623311,2013
9,423698,2013
10,271322,2013
11,243324,2013
12,352004,2013
1,362306,2014
2,274024,2014
3,354501,2014
4,331056,2014
5,221931,2014
6,324898,2014
7,537035,2014
8,536753,2014
9,465607,2014
10,412088,2014
11,273425,2014
12,367795,2014
1,404613,2015
2,231701,2015
3,337810,2015
4,306254,2015
5,252503,2015
6,346923,2015
7,515713,2015
8,661519,2015
9,554812,2015
10,424794,2015
11,317325,2015
12,418221,2015
1,394450,2016
2,284146,2016
3,265223,2016
4,297809,2016
5,273333,2016
6,374028,2016
7,531996,2016
8,572945,2016
9,462263,2016
10,310743,2016
11,294792,2016
12,381630,2016
1,328905,2017
2,274151,2017
3,262454,2017
4,301954,2017
5,227884,2017
6,327630,2017
7,486686,2017
8,619021,2017
9,594814,2017
10,370165,2017
11,298443,2017
12,386174,2017
1,396531,2018
2,227175,2018
3,267670,2018
4,283286,2018
5,219065,2018
6,311224,2018
7,474953,2018
8,611418,2018
9,469921,2018
10,298412,2018
11,291977,2018
12,358586,2018
1,336299,2019
2,272852,2019
3,331408,2019
4,308025,2019
5,246589,2019
6,395642,2019
7,621933,2019
8,646254,2019
9,512981,2019
