,country,count
0,Afghanistan,218
1,Albania,185
2,Algeria,9662
3,Andorra,1
4,Angola,342622
5,Antigua and Barbuda,1
6,Argentina,66508
7,Armenia,443
8,Australia,189749
9,Austria,569
10,Azerbaijan,1239
11,Bahamas,396
12,Bahrain,4
13,Bangladesh,3080
14,Barbados,17
15,Belarus,961
16,Belgium,472
17,Belize,2053
18,Benin,18084
19,Bhutan,268
20,Bolivia,29730
21,Bosnia and Herzegovina,262
22,Botswana,12083
23,Brazil,220358
24,Brunei Darussalam,19
25,Bulgaria,2514
26,Burkina Faso,14931
27,Burma,69999
28,Burundi,848
29,Cambodia,45109
30,Cameroon,37953
31,Canada,67754
32,Cape Verde,4
33,Cayman Islands,2
34,Central African Republic,146385
35,Chad,50406
36,Chile,6706
37,China,117727
38,Colombia,23888
39,Comoros,35
40,Congo,25114
41,Cook Islands,1
42,Costa Rica,1721
43,Cote d'Ivoire,44006
44,Croatia,205
45,Cuba,6274
46,Cyprus,118
47,Czech Republic,183
48,Democratic Republic of the Congo,468814
49,Denmark,82
50,Djibouti,13
51,Dominican Republic,2111
52,Ecuador,4384
53,Egypt,1673
54,El Salvador,1487
55,Equatorial Guinea,156
56,Eritrea,184
57,Estonia,21
58,Ethiopia,53984
59,Falkland Islands (Malvinas),23
60,Fiji,335
61,Finland,212
62,France,1499
63,French Guiana,217
64,French Polynesia,21
65,Gabon,2689
66,Gambia,1075
67,Georgia,511
68,Germany,1859
69,Ghana,53044
70,Greece,1813
71,Greenland,15
72,Guadeloupe,4
73,Guam,9
74,Guatemala,13887
75,Guinea,77586
76,Guinea-Bissau,4550
77,Guyana,1480
78,Haiti,333
79,Heard Island and McDonald Islands,9
80,Honduras,9047
81,Hong Kong,10
82,Hungary,388
83,Iceland,3
84,India,71071
85,Indonesia,53547
86,Iran (Islamic Republic of),15205
87,Iraq,37817
88,Ireland,89
89,Isle of Man,1
90,Israel,135
91,Italy,4105
92,Jamaica,262
93,Japan,1957
94,Jersey,1
95,Jordan,23
96,Kazakhstan,20264
97,Kenya,3063
98,"Korea, Democratic People's Republic of",1208
99,"Korea, Republic of",587
100,Kuwait,1082
101,Kyrgyzstan,410
102,Lao People's Democratic Republic,39969
103,Latvia,58
104,Lebanon,135
105,Lesotho,637
106,Liberia,6648
107,Libyan Arab Jamahiriya,2836
108,Lithuania,66
109,Luxembourg,35
110,Madagascar,71211
111,Malawi,10514
112,Malaysia,4527
113,Maldives,15
114,Mali,33988
115,Malta,1
116,Martinique,1
117,Mauritania,446
118,Mauritius,64
119,Mayotte,3
120,Mexico,81672
121,Mongolia,2007
122,Montenegro,80
123,Montserrat,6
124,Morocco,297
125,Mozambique,148783
126,Namibia,15141
127,Nauru,1
128,Nepal,2501
129,Netherlands,305
130,Netherlands Antilles,5
131,New Caledonia,133
132,New Zealand,783
133,Nicaragua,6145
134,Niger,948
135,Nigeria,57365
136,None,25320
137,Northern Mariana Islands,9
138,Norway,111
139,Oman,540
140,Pakistan,9139
141,Palestine,27
142,Panama,1831
143,Papua New Guinea,5037
144,Paraguay,49679
145,Peru,12277
146,Philippines,4162
147,Poland,629
148,Portugal,4448
149,Puerto Rico,128
150,Qatar,610
151,Republic of Moldova,695
152,Reunion,10
153,Romania,3399
154,Russia,235882
155,Rwanda,350
156,Saint Helena,1
157,Saint Kitts and Nevis,5
158,Saint Vincent and the Grenadines,1
159,Samoa,18
160,Sao Tome and Principe,4
161,Saudi Arabia,2271
162,Senegal,17967
163,Serbia,1791
164,Sierra Leone,30493
165,Singapore,9
166,Slovakia,348
167,Slovenia,21
168,Solomon Islands,22
169,Somalia,792
170,South Africa,49119
171,Spain,3433
172,Sri Lanka,1137
173,Sudan,207639
174,Suriname,398
175,Swaziland,1775
176,Sweden,243
177,Switzerland,42
178,Syrian Arab Republic,2752
179,Taiwan,290
180,Tajikistan,253
181,Thailand,31336
182,The former Yugoslav Republic of Macedonia,846
183,Timor-Leste,321
184,Togo,12056
185,Tonga,14
186,Trinidad and Tobago,137
187,Tunisia,377
188,Turkey,11498
189,Turkmenistan,3728
190,Uganda,24990
191,Ukraine,13463
192,United Arab Emirates,382
193,United Kingdom,532
194,United Republic of Tanzania,91265
195,United States,102336
196,United States Minor Outlying Islands,4
197,United States Virgin Islands,1
198,Uruguay,1195
199,Uzbekistan,3098
200,Vanuatu,572
201,Venezuela,56014
202,Viet Nam,17433
203,Yemen,549
204,Zambia,216846
205,Zimbabwe,22193
