latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
11.3367,32.283,305.7,2.2,1.4,2010-01-01,0000,Aqua,MODIS,65,6.2,289,24.5,N,0
7.5393,24.1753,304.9,1,1,2010-01-01,0001,Aqua,MODIS,40,6.2,286,7.3,N,0
7.1243,27.0868,302.1,1.1,1.1,2010-01-01,0001,Aqua,MODIS,47,6.2,290.3,5.8,N,0
7.5124,24.4923,301.4,1,1,2010-01-01,0001,Aqua,MODIS,37,6.2,283.5,6,N,0
6.1618,33.1482,302.4,3.2,1.7,2010-01-01,0001,Aqua,MODIS,4,6.2,287.9,29.4,N,0
7.5916,24.2631,301.8,1,1,2010-01-01,0001,Aqua,MODIS,44,6.2,281.9,6.8,N,0
7.6008,24.1993,303.7,1,1,2010-01-01,0001,Aqua,MODIS,57,6.2,283,7.3,N,0
7.3585,26.3355,319.6,1,1,2010-01-01,0001,Aqua,MODIS,99,6.2,287.9,20.6,N,0
7.6884,24.4781,300.7,1,1,2010-01-01,0001,Aqua,MODIS,33,6.2,283.3,6.5,N,0
7.8944,23.4406,300.3,1.1,1,2010-01-01,0001,Aqua,MODIS,22,6.2,273.3,7.3,N,0
8.0055,24.641,303.8,1,1,2010-01-01,0001,Aqua,MODIS,57,6.2,284.6,6.7,N,0
8.0145,24.6423,300.4,1,1,2010-01-01,0001,Aqua,MODIS,20,6.2,284.2,4.8,N,0
6.7301,33.9621,303.7,3.6,1.8,2010-01-01,0001,Aqua,MODIS,45,6.2,287.1,40.4,N,0
6.7354,33.9304,300.7,3.6,1.8,2010-01-01,0001,Aqua,MODIS,32,6.2,287,26.6,N,0
8.4473,22.7822,308.1,1.2,1.1,2010-01-01,0001,Aqua,MODIS,73,6.2,277.5,13,N,0
8.4488,22.7716,308.8,1.2,1.1,2010-01-01,0001,Aqua,MODIS,75,6.2,275.5,13.9,N,0
8.5938,22.6967,313.6,1.2,1.1,2010-01-01,0001,Aqua,MODIS,80,6.2,279.3,16.8,N,0
8.6006,22.7194,309.5,1.2,1.1,2010-01-01,0001,Aqua,MODIS,51,6.2,279.1,12.6,N,0
8.602,22.7088,341.8,1.2,1.1,2010-01-01,0001,Aqua,MODIS,100,6.2,282.3,60.4,N,0
8.6035,22.6982,332.5,1.2,1.1,2010-01-01,0001,Aqua,MODIS,100,6.2,282,42.1,N,0
8.6102,22.7208,315.1,1.2,1.1,2010-01-01,0001,Aqua,MODIS,68,6.2,280.3,17.8,N,0
8.6117,22.7102,310.9,1.2,1.1,2010-01-01,0001,Aqua,MODIS,39,6.2,279.8,13.7,N,0
8.99,21.7519,301.1,1.4,1.2,2010-01-01,0001,Aqua,MODIS,36,6.2,276.2,10.1,N,0
8.2357,27.008,311.1,1.1,1,2010-01-01,0001,Aqua,MODIS,82,6.2,288.7,13.7,N,0
8.9292,23.1402,308.6,1.1,1.1,2010-01-01,0001,Aqua,MODIS,73,6.2,277.7,12.3,N,0
8.9306,23.1299,313.5,1.1,1.1,2010-01-01,0001,Aqua,MODIS,87,6.2,277.8,17,N,0
9.0653,23.2748,304.7,1.1,1.1,2010-01-01,0001,Aqua,MODIS,61,6.2,280.7,9.5,N,0
9.0481,23.4664,304.1,1.1,1,2010-01-01,0001,Aqua,MODIS,59,6.2,282.4,8.2,N,0
9.2212,22.361,307.7,1.3,1.1,2010-01-01,0001,Aqua,MODIS,72,6.2,281.9,13.6,N,0
8.5475,27.0698,300.3,1.1,1,2010-01-01,0001,Aqua,MODIS,24,6.2,286.2,6.2,N,0
8.5636,27.3208,303.4,1.1,1.1,2010-01-01,0001,Aqua,MODIS,55,6.2,290.8,6.5,N,0
8.3281,30.6391,328.2,1.8,1.3,2010-01-01,0001,Aqua,MODIS,100,6.2,288.4,68.4,N,0
8.3307,30.6226,311.4,1.8,1.3,2010-01-01,0001,Aqua,MODIS,82,6.2,287,29.7,N,0
